session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
8gi7c8xg,1,3avqa407,1,Intro,Intro_Welcome,1625835622,1,0,0
8gi7c8xg,4,sc1vexjw,1,Intro,Intro_Welcome,1625835626,1,0,0
8gi7c8xg,11,ozugt8pv,1,Intro,Intro_Welcome,1625835628,1,0,0
8gi7c8xg,15,afi2r87g,1,Intro,Intro_Welcome,1625835630,1,0,0
8gi7c8xg,17,0enan9z2,1,Intro,Intro_Welcome,1625835631,1,0,0
8gi7c8xg,7,dm1xlxwu,1,Intro,Intro_Welcome,1625835632,1,0,0
8gi7c8xg,6,iocqbi38,1,Intro,Intro_Welcome,1625835634,1,0,0
8gi7c8xg,3,9v4yeq36,1,Intro,Intro_Welcome,1625835634,1,0,0
8gi7c8xg,18,8qikzdpo,1,Intro,Intro_Welcome,1625835634,1,0,0
8gi7c8xg,16,j4z7tda6,1,Intro,Intro_Welcome,1625835635,1,0,0
8gi7c8xg,19,pkqkuxfj,1,Intro,Intro_Welcome,1625835636,1,0,0
8gi7c8xg,10,fb4lj3pa,1,Intro,Intro_Welcome,1625835637,1,0,0
8gi7c8xg,20,dmx8h8lt,1,Intro,Intro_Welcome,1625835637,1,0,0
8gi7c8xg,14,t6ir50sc,1,Intro,Intro_Welcome,1625835643,1,0,0
8gi7c8xg,12,drqoelav,1,Intro,Intro_Welcome,1625835643,1,0,0
8gi7c8xg,9,otimrsdz,1,Intro,Intro_Welcome,1625835645,1,0,0
8gi7c8xg,13,yazkzg4d,1,Intro,Intro_Welcome,1625835646,1,0,0
8gi7c8xg,2,rs05dbfd,1,Intro,Intro_Welcome,1625835649,1,0,0
8gi7c8xg,8,e01i48nx,1,Intro,Intro_Welcome,1625835650,1,0,0
8gi7c8xg,5,nh0j00t9,1,Intro,Intro_Welcome,1625835664,1,0,0
8gi7c8xg,8,e01i48nx,2,Intro,Intro_Instructions,1625835959,1,0,0
8gi7c8xg,21,5xgbwo6w,1,Intro,Intro_Welcome,1625836032,1,0,0
8gi7c8xg,17,0enan9z2,2,Intro,Intro_Instructions,1625836065,1,0,0
8gi7c8xg,13,yazkzg4d,2,Intro,Intro_Instructions,1625836171,1,0,0
8gi7c8xg,3,9v4yeq36,2,Intro,Intro_Instructions,1625836174,1,0,0
8gi7c8xg,8,e01i48nx,3,dPGG,dPGG_InitialWaitPage,1625836174,1,0,1
8gi7c8xg,3,9v4yeq36,3,dPGG,dPGG_InitialWaitPage,1625836174,1,0,1
8gi7c8xg,17,0enan9z2,3,dPGG,dPGG_InitialWaitPage,1625836174,1,0,1
8gi7c8xg,13,yazkzg4d,3,dPGG,dPGG_InitialWaitPage,1625836174,1,0,1
8gi7c8xg,17,0enan9z2,5,dPGG,dPGG_Decision,1625836180,1,0,0
8gi7c8xg,3,9v4yeq36,5,dPGG,dPGG_Decision,1625836183,1,0,0
8gi7c8xg,8,e01i48nx,5,dPGG,dPGG_Decision,1625836185,1,0,0
8gi7c8xg,13,yazkzg4d,5,dPGG,dPGG_Decision,1625836198,1,0,0
8gi7c8xg,13,yazkzg4d,6,dPGG,ResultsWaitPage,1625836198,1,0,1
8gi7c8xg,8,e01i48nx,6,dPGG,ResultsWaitPage,1625836198,1,0,1
8gi7c8xg,3,9v4yeq36,6,dPGG,ResultsWaitPage,1625836198,1,0,1
8gi7c8xg,17,0enan9z2,6,dPGG,ResultsWaitPage,1625836198,1,0,1
8gi7c8xg,18,8qikzdpo,2,Intro,Intro_Instructions,1625836207,1,0,0
8gi7c8xg,8,e01i48nx,12,dPGG,dPGG_Decision,1625836224,2,0,0
8gi7c8xg,13,yazkzg4d,12,dPGG,dPGG_Decision,1625836228,2,0,0
8gi7c8xg,17,0enan9z2,12,dPGG,dPGG_Decision,1625836231,2,0,0
8gi7c8xg,3,9v4yeq36,12,dPGG,dPGG_Decision,1625836257,2,0,0
8gi7c8xg,8,e01i48nx,13,dPGG,ResultsWaitPage,1625836258,2,0,1
8gi7c8xg,13,yazkzg4d,13,dPGG,ResultsWaitPage,1625836258,2,0,1
8gi7c8xg,17,0enan9z2,13,dPGG,ResultsWaitPage,1625836258,2,0,1
8gi7c8xg,3,9v4yeq36,13,dPGG,ResultsWaitPage,1625836258,2,0,1
8gi7c8xg,3,9v4yeq36,19,dPGG,dPGG_Decision,1625836267,3,0,0
8gi7c8xg,17,0enan9z2,19,dPGG,dPGG_Decision,1625836278,3,0,0
8gi7c8xg,10,fb4lj3pa,2,Intro,Intro_Instructions,1625836281,1,0,0
8gi7c8xg,13,yazkzg4d,19,dPGG,dPGG_Decision,1625836281,3,0,0
8gi7c8xg,8,e01i48nx,19,dPGG,dPGG_Decision,1625836285,3,0,0
8gi7c8xg,8,e01i48nx,20,dPGG,ResultsWaitPage,1625836285,3,0,1
8gi7c8xg,3,9v4yeq36,20,dPGG,ResultsWaitPage,1625836285,3,0,1
8gi7c8xg,17,0enan9z2,20,dPGG,ResultsWaitPage,1625836285,3,0,1
8gi7c8xg,13,yazkzg4d,20,dPGG,ResultsWaitPage,1625836285,3,0,1
8gi7c8xg,13,yazkzg4d,26,dPGG,dPGG_Decision,1625836295,4,0,0
8gi7c8xg,17,0enan9z2,26,dPGG,dPGG_Decision,1625836297,4,0,0
8gi7c8xg,8,e01i48nx,26,dPGG,dPGG_Decision,1625836306,4,0,0
8gi7c8xg,11,ozugt8pv,2,Intro,Intro_Instructions,1625836320,1,0,0
8gi7c8xg,3,9v4yeq36,26,dPGG,dPGG_Decision,1625836368,4,0,0
8gi7c8xg,3,9v4yeq36,27,dPGG,ResultsWaitPage,1625836368,4,0,1
8gi7c8xg,17,0enan9z2,27,dPGG,ResultsWaitPage,1625836368,4,0,1
8gi7c8xg,13,yazkzg4d,27,dPGG,ResultsWaitPage,1625836368,4,0,1
8gi7c8xg,8,e01i48nx,27,dPGG,ResultsWaitPage,1625836368,4,0,1
8gi7c8xg,5,nh0j00t9,2,Intro,Intro_Instructions,1625836373,1,0,0
