"","session_code","participant_code","app_name","page_name","page_index","page_submission","time_spent","completion_time"
"1","8gi7c8xg","0enan9z2","Intro","Intro_Welcome",1,1625835631,NA,1255
"2","8gi7c8xg","0enan9z2","Intro","Intro_Instructions",2,1625836065,434,1255
"3","8gi7c8xg","0enan9z2","dPGG","dPGG_InitialWaitPage",3,1625836174,109,1255
"4","8gi7c8xg","0enan9z2","dPGG","dPGG_Decision",5,1625836180,6,1255
"5","8gi7c8xg","0enan9z2","dPGG","ResultsWaitPage",6,1625836198,18,1255
"6","8gi7c8xg","0enan9z2","dPGG","dPGG_Decision",12,1625836231,33,1255
"7","8gi7c8xg","0enan9z2","dPGG","ResultsWaitPage",13,1625836258,27,1255
"8","8gi7c8xg","0enan9z2","dPGG","dPGG_Decision",19,1625836278,20,1255
"9","8gi7c8xg","0enan9z2","dPGG","ResultsWaitPage",20,1625836285,7,1255
"10","8gi7c8xg","0enan9z2","dPGG","dPGG_Decision",26,1625836297,12,1255
"11","8gi7c8xg","0enan9z2","dPGG","ResultsWaitPage",27,1625836368,71,1255
"12","8gi7c8xg","0enan9z2","dPGG","dPGG_Decision",33,1625836385,17,1255
"13","8gi7c8xg","0enan9z2","dPGG","ResultsWaitPage",34,1625836415,30,1255
"14","8gi7c8xg","0enan9z2","dPGG","dPGG_Decision",40,1625836427,12,1255
"15","8gi7c8xg","0enan9z2","dPGG","ResultsWaitPage",41,1625836438,11,1255
"16","8gi7c8xg","0enan9z2","dPGG","dPGG_Decision",47,1625836448,10,1255
"17","8gi7c8xg","0enan9z2","dPGG","ResultsWaitPage",48,1625836466,18,1255
"18","8gi7c8xg","0enan9z2","dPGG","dPGG_Decision",54,1625836480,14,1255
"19","8gi7c8xg","0enan9z2","dPGG","ResultsWaitPage",55,1625836486,6,1255
"20","8gi7c8xg","0enan9z2","dPGG","dPGG_Decision",61,1625836495,9,1255
"21","8gi7c8xg","0enan9z2","dPGG","ResultsWaitPage",62,1625836510,15,1255
"22","8gi7c8xg","0enan9z2","dPGG","dPGG_Decision",68,1625836521,11,1255
"23","8gi7c8xg","0enan9z2","dPGG","ResultsWaitPage",69,1625836534,13,1255
"24","8gi7c8xg","0enan9z2","dPGG","dPGG_Results",70,1625836571,37,1255
"25","8gi7c8xg","0enan9z2","dPGG","dPGG_Comprehension",71,1625836577,6,1255
"26","8gi7c8xg","0enan9z2","dPGG","dPGG_Donation",72,1625836636,59,1255
"27","8gi7c8xg","0enan9z2","HLPL","HLPL_Decision",73,1625836753,117,1255
"28","8gi7c8xg","0enan9z2","Outro","Outro_Personality",74,1625836812,59,1255
"29","8gi7c8xg","0enan9z2","Outro","Outro_Covariates",75,1625836835,23,1255
"30","8gi7c8xg","0enan9z2","Outro","Outro_CLICCS",76,1625836886,51,1255
"31","8gi7c8xg","3avqa407","Intro","Intro_Welcome",1,1625835622,NA,0
"32","8gi7c8xg","5xgbwo6w","Intro","Intro_Welcome",1,1625836032,NA,2128
"33","8gi7c8xg","5xgbwo6w","Intro","Intro_Instructions",2,1625837355,1323,2128
"34","8gi7c8xg","5xgbwo6w","dPGG","dPGG_InitialWaitPage",3,1625837964,609,2128
"35","8gi7c8xg","5xgbwo6w","dPGG","ResultsWaitPage",6,1625837965,1,2128
"36","8gi7c8xg","5xgbwo6w","dPGG","ResultsWaitPage",13,1625837965,0,2128
"37","8gi7c8xg","5xgbwo6w","dPGG","ResultsWaitPage",20,1625837965,0,2128
"38","8gi7c8xg","5xgbwo6w","dPGG","ResultsWaitPage",27,1625837966,1,2128
"39","8gi7c8xg","5xgbwo6w","dPGG","ResultsWaitPage",34,1625837966,0,2128
"40","8gi7c8xg","5xgbwo6w","dPGG","ResultsWaitPage",41,1625837966,0,2128
"41","8gi7c8xg","5xgbwo6w","dPGG","ResultsWaitPage",48,1625837966,0,2128
"42","8gi7c8xg","5xgbwo6w","dPGG","ResultsWaitPage",55,1625837967,1,2128
"43","8gi7c8xg","5xgbwo6w","dPGG","ResultsWaitPage",62,1625837967,0,2128
"44","8gi7c8xg","5xgbwo6w","dPGG","ResultsWaitPage",69,1625837967,0,2128
"45","8gi7c8xg","5xgbwo6w","Outro","Outro_Personality",74,1625838047,80,2128
"46","8gi7c8xg","5xgbwo6w","Outro","Outro_Covariates",75,1625838090,43,2128
"47","8gi7c8xg","5xgbwo6w","Outro","Outro_CLICCS",76,1625838160,70,2128
"48","8gi7c8xg","8qikzdpo","Intro","Intro_Welcome",1,1625835634,NA,1467
"49","8gi7c8xg","8qikzdpo","Intro","Intro_Instructions",2,1625836207,573,1467
"50","8gi7c8xg","8qikzdpo","dPGG","dPGG_InitialWaitPage",3,1625836374,167,1467
"51","8gi7c8xg","8qikzdpo","dPGG","dPGG_Decision",5,1625836412,38,1467
"52","8gi7c8xg","8qikzdpo","dPGG","ResultsWaitPage",6,1625836412,0,1467
"53","8gi7c8xg","8qikzdpo","dPGG","dPGG_Decision",12,1625836430,18,1467
"54","8gi7c8xg","8qikzdpo","dPGG","ResultsWaitPage",13,1625836487,57,1467
"55","8gi7c8xg","8qikzdpo","dPGG","dPGG_Decision",19,1625836526,39,1467
"56","8gi7c8xg","8qikzdpo","dPGG","ResultsWaitPage",20,1625836554,28,1467
"57","8gi7c8xg","8qikzdpo","dPGG","dPGG_Decision",26,1625836575,21,1467
"58","8gi7c8xg","8qikzdpo","dPGG","ResultsWaitPage",27,1625836592,17,1467
"59","8gi7c8xg","8qikzdpo","dPGG","dPGG_Decision",33,1625836606,14,1467
"60","8gi7c8xg","8qikzdpo","dPGG","ResultsWaitPage",34,1625836626,20,1467
"61","8gi7c8xg","8qikzdpo","dPGG","dPGG_Decision",40,1625836657,31,1467
"62","8gi7c8xg","8qikzdpo","dPGG","ResultsWaitPage",41,1625836657,0,1467
"63","8gi7c8xg","8qikzdpo","dPGG","dPGG_Decision",47,1625836674,17,1467
"64","8gi7c8xg","8qikzdpo","dPGG","ResultsWaitPage",48,1625836674,0,1467
"65","8gi7c8xg","8qikzdpo","dPGG","dPGG_Decision",54,1625836686,12,1467
"66","8gi7c8xg","8qikzdpo","dPGG","ResultsWaitPage",55,1625836701,15,1467
"67","8gi7c8xg","8qikzdpo","dPGG","dPGG_Decision",61,1625836726,25,1467
"68","8gi7c8xg","8qikzdpo","dPGG","ResultsWaitPage",62,1625836743,17,1467
"69","8gi7c8xg","8qikzdpo","dPGG","dPGG_Decision",68,1625836762,19,1467
"70","8gi7c8xg","8qikzdpo","dPGG","ResultsWaitPage",69,1625836762,0,1467
"71","8gi7c8xg","8qikzdpo","dPGG","dPGG_Results",70,1625836785,23,1467
"72","8gi7c8xg","8qikzdpo","dPGG","dPGG_Comprehension",71,1625836792,7,1467
"73","8gi7c8xg","8qikzdpo","dPGG","dPGG_Donation",72,1625836887,95,1467
"74","8gi7c8xg","8qikzdpo","HLPL","HLPL_Decision",73,1625836986,99,1467
"75","8gi7c8xg","8qikzdpo","Outro","Outro_Personality",74,1625837051,65,1467
"76","8gi7c8xg","8qikzdpo","Outro","Outro_Covariates",75,1625837069,18,1467
"77","8gi7c8xg","8qikzdpo","Outro","Outro_CLICCS",76,1625837101,32,1467
"78","8gi7c8xg","9v4yeq36","Intro","Intro_Welcome",1,1625835634,NA,1050
"79","8gi7c8xg","9v4yeq36","Intro","Intro_Instructions",2,1625836174,540,1050
"80","8gi7c8xg","9v4yeq36","dPGG","dPGG_InitialWaitPage",3,1625836174,0,1050
"81","8gi7c8xg","9v4yeq36","dPGG","dPGG_Decision",5,1625836183,9,1050
"82","8gi7c8xg","9v4yeq36","dPGG","ResultsWaitPage",6,1625836198,15,1050
"83","8gi7c8xg","9v4yeq36","dPGG","dPGG_Decision",12,1625836257,59,1050
"84","8gi7c8xg","9v4yeq36","dPGG","ResultsWaitPage",13,1625836258,1,1050
"85","8gi7c8xg","9v4yeq36","dPGG","dPGG_Decision",19,1625836267,9,1050
